Id,Age,Gender,Marital_status,Numofcomp_worked,Work_Experience,Last_salary,Salary_hike,Work_hours,Traveling_required,NoticePeriod_buyout,Job_type,Whether_comp_Possess_vehicle,Work_location,Traveltowork_distance_time,Work_area_living_cost,Public_transport_nearby,Current_employment,Offer_letter_Processtime_week,Bonus,Allowance,Overtime_pay,Emp_shares_scheme,Performance_incentive,Annual_leave,Medical_Family,Child_day_care,Nursing_room,Parking,Comp_size,Comp_rating,Work_life,Stresslevel,Accept_offer
1,19-26,Male,Single,3-5',5,7-10K,Above 100%,Mon-Fri,No,No,Permanant,Yes,Town,Near,High Cost,No,Working,4,No,No,Yes,Yes,No,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
2,27-33,Female,Married,0-2',5,3.5-7K,50-75%,Mon-Fri,No,Yes,Permanant,Yes,Town,Average,Average,Yes,Working,3,No,No,No,No,No,More Than 12 Days,No,No,Yes,No,More Than 5000,High,High,High,Yes
3,27-33,Male,Married,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,No
4,19-26,Male,Single,0-2',8,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Near,High Cost,No,Unemployed/Resigned,1,Yes,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
5,34-40,Male,Single,6-8',8,3.5-7K,75-100%,Mon-Fri,No,Yes,Contract,Yes,Town,Average,Average,Yes,Working,4,No,Yes,No,Yes,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
6,27-33,Male,Married,3-5',5,7-10K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Near,High Cost,No,Working,3,No,No,No,No,Yes,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
7,27-33,Female,Married,0-2',8 Above,15K Above,75-100%,Mon-Fri,Yes,Yes,Permanant,No,Outskirt Town,Near,Average,No,Working,5,Yes,No,Yes,Yes,Yes,More Than 12 Days,Yes,No,Yes,No,More Than 5000,High,High,High,No
8,27-33,Male,Single,9 Above,5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,No,Working,4,No,No,Yes,No,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
9,19-26,Female,Single,0-2',5,3.5-7K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,High Cost,Yes,Unemployed/Resigned,3,Yes,No,No,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,Yes
10,27-33,Male,Married,0-2',8,3.5-7K,<25%,24/7 Operation,No,No,Contract,Yes,Outskirt Town,Average,Average,No,Unemployed/Resigned,3,No,No,Yes,No,No,More Than 12 Days,No,No,No,No,2000 to 5000,High,High,High,No
11,19-26,Male,Single,0-2',8,7-10K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,5,No,No,No,Yes,Yes,More Than 12 Days,No,No,No,No,More Than 5000,High,High,High,No
12,19-26,Female,Single,3-5',8 Above,3.5-7K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More Than 12 Days,No,No,Yes,No,2000 to 5000,High,High,High,No
13,19-26,Male,Single,0-2',5,3.5-7K,25-50%,Flexible Hours,Yes,No,Permanant,Yes,Town,Near,Average,No,Working,3,Yes,No,Yes,No,No,More Than 12 Days,No,No,No,Yes,2000 to 5000,High,High,High,Yes
14,34-40,Male,Single,0-2',5,7-10K,25-50%,Mon-Fri,Yes,No,Permanant,Yes,Town,Far,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
15,19-26,Male,Married,3-5',5,7-10K,50-75%,24/7 Operation,Yes,Yes,Permanant,Yes,Outskirt Town,Near,Average,No,Working,4,Yes,No,No,No,No,More Than 12 Days,No,No,No,Yes,More Than 5000,High,High,High,Yes
16,27-33,Female,Single,0-2',5,7-10K,25-50%,Mon-Fri,No,No,Permanant,Yes,Town,Average,Average,No,Working,3,Yes,No,No,Yes,No,More Than 12 Days,Yes,No,Yes,Yes,More Than 5000,High,Low,High,Yes
17,34-40,Male,Single,0-2',5,10-15K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,Average,No,Working,3,No,No,No,No,No,More Than 12 Days,Yes,No,No,No,500 to 2000,High,Low,High,Yes
